canal_preferido,categoria_favorita,regiao,marca_preferida,influenciador,frequencia_compra,pagamento,genero,ticket_medio,qtd_itens,data_nascimento
whatsapp,snacks,sul,marca_57,influencer_085,mensal,debito,masculino,168.19292821354054,7,13/06/1987
loja_fisica,snacks,norte,marca_52,influencer_023,semanal,pix,nao_informado,147.28342619239794,6,03/10/1996
ecommerce,higiene,sul,marca_20,influencer_113,bimestral,credito,feminino,112.53333522489307,5,16/04/1958
loja_fisica,bebidas,sudeste,marca_51,influencer_119,mensal,pix,outro,190.66252777981782,1,26/06/1988
parceiros,bebidas,sul,marca_57,influencer_098,mensal,pix,outro,113.71114854436753,3,23/05/1965
ecommerce,limpeza,sul,marca_15,influencer_035,trimestral,debito,nao_informado,159.50071842924632,7,21/04/1977
loja_fisica,bebidas,sudeste,marca_36,influencer_079,semanal,debito,feminino,128.8015618914694,8,06/04/1980
loja_fisica,mercearia,nordeste,marca_16,influencer_009,semanal,carteira_digital,feminino,197.31812149691,5,23/02/1993
parceiros,laticinios,sudeste,marca_38,influencer_104,quinzenal,pix,masculino,150.12181948245308,6,04/11/1964
loja_fisica,higiene,sul,marca_05,influencer_061,bimestral,pix,outro,121.84637924852247,3,12/11/2005
app,laticinios,norte,marca_43,influencer_020,semanal,credito,feminino,112.8479408493264,3,27/09/1987
parceiros,bebidas,norte,marca_25,influencer_039,bimestral,credito,feminino,119.3850999575128,5,22/10/1973
ecommerce,bebidas,sul,marca_35,influencer_096,mensal,debito,nao_informado,90.98410915430634,3,05/05/1971
parceiros,mercearia,sul,marca_01,influencer_104,mensal,carteira_digital,nao_informado,65.33187449845535,7,15/07/1960
loja_fisica,mercearia,sul,marca_41,influencer_062,mensal,credito,feminino,132.34941560436712,4,28/12/1973
app,laticinios,centro_oeste,marca_29,influencer_057,semanal,debito,masculino,98.65925946542497,2,13/01/1961
parceiros,bebidas,sudeste,marca_37,influencer_090,quinzenal,carteira_digital,outro,98.55299129418451,4,17/03/1996
whatsapp,mercearia,sudeste,marca_18,influencer_099,bimestral,pix,masculino,116.44639053810585,6,11/10/1997
loja_fisica,higiene,nordeste,marca_08,influencer_091,quinzenal,debito,outro,122.08893753589072,6,14/01/1982
parceiros,snacks,sudeste,marca_25,influencer_045,mensal,boleto,feminino,120.29504046339623,1,15/10/2006
parceiros,bebidas,sudeste,marca_56,influencer_076,trimestral,pix,outro,189.531814072338,1,06/05/1960
app,laticinios,sudeste,marca_13,influencer_102,semanal,carteira_digital,outro,146.4951787164561,2,27/09/2001
parceiros,bebidas,norte,marca_40,influencer_017,mensal,credito,feminino,204.31262313321164,5,25/12/1974
parceiros,mercearia,nordeste,marca_02,influencer_046,quinzenal,boleto,outro,102.44038520541937,3,03/07/1995
ecommerce,limpeza,norte,marca_43,influencer_006,semanal,debito,masculino,151.3488257251298,4,05/01/2002
ecommerce,mercearia,norte,marca_14,influencer_048,trimestral,boleto,masculino,104.66349837480578,4,19/07/1961
parceiros,mercearia,sul,marca_26,influencer_092,trimestral,carteira_digital,feminino,97.55472568300435,5,12/01/1999
parceiros,laticinios,centro_oeste,marca_21,influencer_023,quinzenal,carteira_digital,nao_informado,205.82170505625476,6,20/12/2007
loja_fisica,bebidas,norte,marca_06,influencer_064,trimestral,carteira_digital,masculino,89.27406922418734,5,02/05/1995
app,bebidas,norte,marca_20,influencer_004,semanal,boleto,feminino,30.73063987109647,2,22/12/1962
app,limpeza,norte,marca_20,influencer_107,trimestral,credito,outro,91.68202763340582,0,01/12/1999
loja_fisica,snacks,sul,marca_31,influencer_098,trimestral,credito,outro,39.667053530105164,7,06/04/1969
parceiros,bebidas,sul,marca_58,influencer_062,semanal,debito,masculino,81.9470199571266,2,21/05/1959
loja_fisica,bebidas,sul,marca_28,influencer_084,mensal,pix,feminino,85.65336716599919,8,10/11/1989
whatsapp,snacks,sudeste,marca_54,influencer_012,bimestral,debito,masculino,121.41127059406202,4,06/09/1961
ecommerce,bebidas,nordeste,marca_27,influencer_101,quinzenal,boleto,masculino,38.01613490878455,9,25/07/1985
whatsapp,bebidas,sudeste,marca_06,influencer_085,quinzenal,boleto,outro,167.83808904324528,2,17/11/1955
whatsapp,laticinios,sudeste,marca_13,influencer_014,bimestral,carteira_digital,outro,44.96922946368336,2,09/04/1994
whatsapp,snacks,centro_oeste,marca_24,influencer_117,semanal,debito,masculino,114.88996709384473,4,21/09/1961
loja_fisica,laticinios,norte,marca_19,influencer_002,semanal,boleto,masculino,107.03380756049414,5,04/05/1990
app,laticinios,nordeste,marca_51,influencer_075,quinzenal,boleto,feminino,153.01401439605172,2,14/02/1998
loja_fisica,bebidas,sul,marca_40,influencer_020,bimestral,carteira_digital,feminino,134.0617309960283,5,06/05/1960
loja_fisica,mercearia,nordeste,marca_34,influencer_086,quinzenal,boleto,masculino,167.47491685043047,3,19/02/1957
parceiros,limpeza,centro_oeste,marca_29,influencer_008,mensal,debito,masculino,105.54186832087896,4,08/12/2001
ecommerce,mercearia,norte,marca_23,influencer_009,semanal,credito,feminino,101.41013081327732,3,07/04/1979
app,bebidas,nordeste,marca_36,influencer_055,semanal,carteira_digital,masculino,136.5116394021273,5,08/12/1981
whatsapp,bebidas,nordeste,marca_07,influencer_119,bimestral,boleto,outro,161.16807518111221,4,23/10/1968
ecommerce,bebidas,sul,marca_09,influencer_033,semanal,carteira_digital,nao_informado,153.0027638432822,4,25/05/1980
app,limpeza,norte,marca_18,influencer_073,bimestral,boleto,nao_informado,132.87256853870375,5,06/10/1999
ecommerce,laticinios,centro_oeste,marca_10,influencer_062,quinzenal,boleto,feminino,129.30650009071198,4,05/01/1999
parceiros,limpeza,sul,marca_40,influencer_101,bimestral,boleto,outro,118.5484350479812,1,17/03/1997
ecommerce,mercearia,sul,marca_01,influencer_034,quinzenal,carteira_digital,masculino,136.39720657927748,5,18/10/1970
app,laticinios,sul,marca_09,influencer_066,trimestral,carteira_digital,outro,201.39737777916832,4,24/05/1995
loja_fisica,limpeza,sul,marca_54,influencer_114,semanal,debito,masculino,110.29706473772485,3,24/02/1978
loja_fisica,bebidas,centro_oeste,marca_59,influencer_039,trimestral,credito,outro,105.42039354338317,2,23/02/1975
parceiros,laticinios,norte,marca_29,influencer_052,quinzenal,credito,masculino,102.35776536187299,3,02/10/1972
app,higiene,sul,marca_29,influencer_106,semanal,pix,outro,135.57491032489656,1,02/06/2004
app,bebidas,sul,marca_46,influencer_039,mensal,carteira_digital,masculino,35.13018923612191,5,06/06/1964
whatsapp,higiene,nordeste,marca_01,influencer_045,semanal,carteira_digital,outro,114.59753187462655,5,11/05/2002
app,laticinios,sudeste,marca_25,influencer_036,mensal,debito,nao_informado,155.22587404999905,2,21/02/2003
app,snacks,nordeste,marca_05,influencer_097,bimestral,debito,masculino,98.95076824551121,4,24/12/1989
parceiros,higiene,centro_oeste,marca_23,influencer_111,bimestral,pix,outro,127.46818519255389,1,21/03/1956
ecommerce,bebidas,norte,marca_59,influencer_075,mensal,carteira_digital,masculino,204.3734185322583,2,24/05/1987
whatsapp,bebidas,sudeste,marca_45,influencer_074,trimestral,boleto,nao_informado,133.26399499914973,3,11/10/1961
whatsapp,bebidas,norte,marca_59,influencer_046,mensal,credito,feminino,30.430935148516184,6,18/01/1972
ecommerce,mercearia,norte,marca_44,influencer_001,semanal,debito,nao_informado,63.604625337707645,10,04/08/1958
loja_fisica,laticinios,sul,marca_36,influencer_020,trimestral,pix,outro,109.95986994310066,3,04/07/1994
whatsapp,bebidas,norte,marca_45,influencer_017,semanal,pix,feminino,87.84696367150704,2,24/09/1980
ecommerce,snacks,nordeste,marca_39,influencer_013,semanal,carteira_digital,nao_informado,124.13532823202563,8,12/11/2004
app,bebidas,centro_oeste,marca_27,influencer_078,semanal,carteira_digital,outro,108.21695910872936,5,21/02/1991
ecommerce,bebidas,sudeste,marca_17,influencer_016,quinzenal,credito,nao_informado,166.64286131325198,4,27/05/1971
loja_fisica,limpeza,sudeste,marca_31,influencer_010,quinzenal,credito,feminino,76.34674211293822,3,17/05/1996
app,mercearia,nordeste,marca_15,influencer_045,quinzenal,debito,feminino,111.70002471292653,3,03/10/1970
loja_fisica,limpeza,sudeste,marca_29,influencer_029,mensal,debito,masculino,128.69033949100748,4,19/06/1969
loja_fisica,higiene,sul,marca_08,influencer_017,bimestral,debito,feminino,133.6453777400786,3,23/06/1968
parceiros,limpeza,norte,marca_33,influencer_017,trimestral,credito,masculino,125.87221034312017,4,08/04/1992
app,bebidas,sudeste,marca_14,influencer_030,semanal,credito,outro,23.5490630656752,6,12/07/2007
loja_fisica,bebidas,nordeste,marca_17,influencer_064,semanal,carteira_digital,nao_informado,123.33168312032258,3,18/08/2000
ecommerce,laticinios,centro_oeste,marca_29,influencer_090,mensal,credito,nao_informado,113.96982508498976,3,21/07/1983
whatsapp,mercearia,nordeste,marca_09,influencer_102,semanal,carteira_digital,masculino,154.56439011651426,3,06/08/1955
app,laticinios,nordeste,marca_57,influencer_090,quinzenal,debito,masculino,148.91881234277614,2,02/11/2006
parceiros,laticinios,nordeste,marca_26,influencer_075,bimestral,debito,outro,129.6337804397326,9,18/11/1975
loja_fisica,limpeza,sudeste,marca_20,influencer_108,bimestral,credito,nao_informado,132.5265651362303,4,01/07/1987
loja_fisica,laticinios,sudeste,marca_01,influencer_062,semanal,credito,outro,174.09532396918667,8,13/12/1977
loja_fisica,higiene,norte,marca_50,influencer_075,bimestral,debito,nao_informado,166.01184428382766,5,09/05/1970
loja_fisica,bebidas,sul,marca_37,influencer_049,bimestral,carteira_digital,masculino,131.01328009044644,4,13/01/1971
whatsapp,bebidas,sul,marca_24,influencer_039,trimestral,carteira_digital,nao_informado,205.8167315050402,6,25/10/1986
loja_fisica,bebidas,sudeste,marca_14,influencer_039,quinzenal,credito,nao_informado,94.87214701772027,2,27/10/1977
parceiros,bebidas,centro_oeste,marca_44,influencer_017,bimestral,credito,masculino,72.5822756762709,4,20/01/1963
whatsapp,snacks,sudeste,marca_56,influencer_095,bimestral,credito,nao_informado,119.5664797244682,2,11/04/1975
parceiros,mercearia,norte,marca_22,influencer_006,quinzenal,boleto,masculino,105.04760551496064,2,18/04/1978
loja_fisica,mercearia,sul,marca_07,influencer_080,bimestral,credito,masculino,21.386347621276144,5,04/07/1988
whatsapp,limpeza,nordeste,marca_06,influencer_103,bimestral,credito,masculino,93.90476760034457,6,28/04/1978
whatsapp,bebidas,sul,marca_00,influencer_059,quinzenal,carteira_digital,nao_informado,133.74340615219094,5,25/09/1965
whatsapp,mercearia,sudeste,marca_44,influencer_008,mensal,carteira_digital,nao_informado,117.67889016978597,3,10/07/1985
loja_fisica,snacks,nordeste,marca_58,influencer_051,mensal,boleto,masculino,88.94154353223101,2,01/11/1999
loja_fisica,bebidas,norte,marca_59,influencer_041,bimestral,credito,outro,121.6930207822429,5,24/11/1975
app,snacks,sudeste,marca_46,influencer_118,semanal,debito,nao_informado,124.9228991697255,3,01/04/1988
ecommerce,snacks,nordeste,marca_09,influencer_082,mensal,credito,feminino,148.60297535445366,4,04/07/1979
ecommerce,snacks,nordeste,marca_58,influencer_086,semanal,boleto,masculino,94.33997417885627,4,01/08/1970
parceiros,mercearia,sudeste,marca_19,influencer_061,bimestral,boleto,masculino,154.95427162065826,3,05/06/2001
whatsapp,mercearia,nordeste,marca_19,influencer_085,bimestral,credito,masculino,76.37428102962622,2,26/12/2006
app,mercearia,sudeste,marca_41,influencer_086,mensal,carteira_digital,outro,99.86492323201291,2,14/01/1964
ecommerce,bebidas,nordeste,marca_02,influencer_007,mensal,pix,outro,187.9597280640284,1,05/11/1988
app,mercearia,sudeste,marca_49,influencer_026,quinzenal,boleto,masculino,79.04488929611261,4,27/12/2003
loja_fisica,limpeza,nordeste,marca_59,influencer_001,quinzenal,credito,feminino,93.64930749476778,4,12/05/1983
parceiros,bebidas,sul,marca_46,influencer_061,bimestral,debito,masculino,69.87555757622727,6,20/04/1983
whatsapp,limpeza,nordeste,marca_46,influencer_105,semanal,credito,masculino,86.90934466752374,5,16/01/2005
loja_fisica,higiene,nordeste,marca_23,influencer_073,bimestral,boleto,feminino,125.53452632115078,3,04/02/1988
loja_fisica,higiene,centro_oeste,marca_03,influencer_059,bimestral,credito,masculino,148.261691713718,7,20/03/1999
ecommerce,bebidas,nordeste,marca_47,influencer_111,trimestral,debito,masculino,119.2544746592531,5,27/10/1960
app,higiene,centro_oeste,marca_35,influencer_020,quinzenal,boleto,feminino,107.01240603117336,5,28/10/1986
parceiros,bebidas,sudeste,marca_54,influencer_008,mensal,boleto,feminino,70.28904455520109,3,22/11/1962
app,bebidas,sul,marca_06,influencer_110,semanal,boleto,feminino,90.91478179272221,5,19/04/1965
whatsapp,bebidas,sudeste,marca_18,influencer_108,trimestral,boleto,feminino,58.15856805116194,6,21/04/1993
parceiros,laticinios,sul,marca_21,influencer_081,bimestral,boleto,feminino,149.46238499538157,3,28/10/2001
whatsapp,snacks,norte,marca_40,influencer_029,bimestral,boleto,feminino,152.24292794588848,4,16/07/2002
loja_fisica,snacks,centro_oeste,marca_47,influencer_116,bimestral,debito,feminino,118.38209602673814,3,26/01/1995
loja_fisica,snacks,nordeste,marca_57,influencer_091,quinzenal,credito,outro,137.65803935538412,5,12/10/1982
app,laticinios,norte,marca_17,influencer_080,mensal,pix,masculino,155.04930293388915,4,09/02/1978
whatsapp,limpeza,sudeste,marca_29,influencer_026,bimestral,credito,nao_informado,124.0483555073016,2,04/01/1963
loja_fisica,laticinios,sudeste,marca_01,influencer_061,semanal,pix,masculino,175.74442735969703,6,13/12/1996
parceiros,snacks,norte,marca_14,influencer_098,trimestral,pix,feminino,79.04829215033206,6,18/12/1997
parceiros,bebidas,sudeste,marca_22,influencer_103,trimestral,credito,nao_informado,106.05319087799533,2,12/09/1961
app,limpeza,sudeste,marca_35,influencer_067,trimestral,boleto,nao_informado,101.29031327809561,5,04/04/2003
parceiros,snacks,centro_oeste,marca_28,influencer_062,bimestral,boleto,outro,145.88952376118033,0,13/02/1972
ecommerce,mercearia,centro_oeste,marca_21,influencer_083,quinzenal,pix,feminino,62.63434682695689,5,17/06/1990
